"","V1","C_ele_gene_ID","WormBase.Gene.ID","Public.Name","Gene.Ontology.Association","Concise.Description","Automated.Description"
"11","Gpal_D383_g03884","F32H2.11","WBGene00043049","F32H2.11","N.A.","N.A.","Is enriched in Z1.p\; Z4.a\; male distal tip cell\; and somatic gonad precursor based on RNA-seq studies. Is affected by several genes including daf-16\; daf-12\; and eat-2 based on RNA-seq and microarray studies. Is affected by four chemicals including Ethanol\; methylmercury hydroxide\; and stearic acid based on RNA-seq studies. Is predicted to encode a protein with the following domains: Protein of unknown function, DUF273\; Protein of unknown function DUF273\; and Nucleotide-diphospho-sugar transferases."
"12","Gpal_D383_g05824","R02E12.2","WBGene00019827","mop-25.1","intracellular signal transduction, ""positive regulation of protein serine/threonine kinase activity"", ""protein serine/threonine kinase activator activity""","mop-25.1 encodes a protein orthologous to fission yeast Mo25p, budding yeast Hym1p, Aspergillus nidulans HymA, human CAB39, and human CAB39L\; MOP-25.1 is paralogous to MOP-25.2 and (more distantly) MOP-25.3\; MOP-25.1 shares a redundant function with MOP-25.2 in fertility and embryonic viability.","Is enriched in AFD\; ASER\; coelomocyte\; and germ line based on tiling array and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and age-1 based on microarray\; tiling array\; proteomic\; and RNA-seq studies. Is affected by eleven chemicals including Cry5B\; stavudine\; and Nitric Oxide based on RNA-seq and microarray studies. Human ortholog(s) of this gene are implicated in hepatocellular carcinoma and pancreatic cancer. Is predicted to encode a protein with the following domains: Mo25-like\; Armadillo-like helical\; Mo25-like\; and Armadillo-type fold. Is an ortholog of human CAB39 (calcium binding protein 39) and CAB39L (calcium binding protein 39 like)."
"13","Gpal_D383_g00393","W07A12.4","WBGene00012322","W07A12.4","N.A.","N.A.","Is enriched in PLM and muscle cell based on RNA-seq and microarray studies. Is affected by several genes including daf-2\; rrf-3\; and eat-2 based on RNA-seq and microarray studies. Is affected by eleven chemicals including levamisole\; Psoralens\; and allantoin based on microarray and RNA-seq studies. Is predicted to encode a protein with the following domains: BTB\/POZ domain\; BTB And C-terminal Kelch\; BTB\/POZ domain\; SKP1\/BTB\/POZ domain superfamily\; and BTB\/Kelch-associated. Is an ortholog of human BTBD17 (BTB domain containing 17)."
"14","Gpal_D383_g05944","T23F1.5","WBGene00011948","rocf-1","integral component of membrane, ""membrane""","N.A.","Is enriched in hypodermis and intestine based on tiling array and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and skn-1 based on microarray and RNA-seq studies. Is affected by twenty chemicals including 1-methylnicotinamide\; methylmercuric chloride\; and rotenone based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domain: Zona pellucida domain."
"15","Gpal_D383_g09950","Y54G2A.76","WBGene00235268","Y54G2A.76","N.A.","N.A.","Is affected by several genes including daf-16\; daf-2\; and skn-1 based on RNA-seq and microarray studies. Is affected by six chemicals including stavudine\; Zidovudine\; and Psoralens based on RNA-seq studies."
"16","Gpal_D383_g09004","F48C5.2","WBGene00009843","F48C5.2","extracellular region, ""proteolysis""","N.A.","Is enriched in hypodermis\; intestine\; and neurons based on tiling array and RNA-seq studies. Is affected by several genes including daf-2\; elt-2\; and sek-1 based on microarray\; tiling array\; and RNA-seq studies. Is affected by four chemicals including stavudine\; Tunicamycin\; and Colistin based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: PAN domain\; Apple domain\; and PAN\/Apple domain."
"17","Gpal_D383_g01948","H43I07.1","WBGene00019274","H43I07.1","mitochondrion, ""regulation of lipid metabolic process""","N.A.","Is enriched in germ line based on RNA-seq studies. Is affected by several genes including daf-16\; let-7\; and gld-1 based on proteomic\; RNA-seq\; and microarray studies. Is affected by stavudine\; Rifampin\; and Sirolimus based on RNA-seq and microarray studies. Human ortholog(s) of this gene are implicated in 3-methylglutaconic aciduria type 3 and optic atrophy 3. Is predicted to encode a protein with the following domains: Optic atrophy 3 protein (OPA3) and Optic atrophy 3-like. Is an ortholog of human OPA3 (outer mitochondrial membrane lipid metabolism regulator OPA3)."
"18","Gpal_D383_g10721","F14F9.5","WBGene00017468","F14F9.5","catalytic activity, ""extracellular region""","N.A.","Is enriched in AFD based on RNA-seq studies. Is affected by several genes including daf-2\; clk-1\; and pgl-1 based on microarray and RNA-seq studies. Is affected by eight chemicals including methylmercuric chloride\; mianserin\; and Zidovudine based on microarray and RNA-seq studies. Is predicted to encode a protein with the following domains: Endonuclease\/Exonuclease\/phosphatase family\; Endonuclease\/exonuclease\/phosphatase\; and Endonuclease\/exonuclease\/phosphatase superfamily."
"19","Gpal_D383_g10037","M153.2","WBGene00010925","mfsd-11","integral component of membrane, ""membrane""","N.A.","Is enriched in PLM\; intestine\; and pharyngeal muscle cell based on tiling array and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and skn-1 based on microarray and RNA-seq studies. Is affected by thirteen chemicals including aldicarb\; rotenone\; and D-glucose based on microarray and RNA-seq studies. Is predicted to encode a protein with the following domains: Ion channel regulatory protein UNC-93\; Ion channel regulatory protein, UNC-93\; and MFS transporter superfamily. Is an ortholog of human MFSD11 (major facilitator superfamily domain containing 11)."
"20","Gpal_D383_g14385","Y41C4A.9","WBGene00012756","Y41C4A.9","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, nucleolus"", ""nucleus"", ""rRNA binding"", ""small-subunit processome"", ""U3 snoRNA binding"", 5.8S rRNA, LSU-rRNA)""","N.A.","Is enriched in body wall muscle cell\; germ line\; and germline precursor cell based on tiling array and RNA-seq studies. Is affected by several genes including daf-2\; hsf-1\; and sir-2.1 based on microarray and RNA-seq studies. Is affected by six chemicals including mianserin\; stavudine\; and Atrazine based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Utp25, U3 small nucleolar RNA-associated SSU processome protein 25 and Digestive organ expansion factor, predicted. Is an ortholog of human UTP25 (UTP25 small subunit processor component)."
"21","Gpal_D383_g17059","T13H5.6","WBGene00011760","T13H5.6","integral component of membrane, ""membrane"", ""plasma membrane"", ""regulation of sodium ion transport""","N.A.","Is enriched in body wall musculature\; hypodermis\; and neurons based on Chronogram\; RNA-seq\; and microarray studies. Is affected by several genes including daf-2\; skn-1\; and hsf-1 based on RNA-seq and microarray studies. Is affected by fourteen chemicals including stavudine\; Zidovudine\; and Psoralens based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Na,K-Atpase Interacting protein and Na,K-Atpase Interacting protein. Is an ortholog of human NKAIN4 (sodium\/potassium transporting ATPase interacting 4)."
"22","Gpal_D383_g09191","W02B12.9","WBGene00012204","mfn-1","integral component of membrane, ""ion transport"", ""iron import into the mitochondrion"", ""iron ion homeostasis"", ""iron ion transmembrane transporter activity"", ""membrane"", ""mitochondrial inner membrane"", ""mitochondrion""","N.A.","Is enriched in germ line\; germline precursor cell\; muscle cell\; and somatic gonad precursor based on Chronogram\; RNA-seq\; and microarray studies. Is affected by several genes including daf-2\; sir-2.1\; and sek-1 based on microarray and RNA-seq studies. Is affected by five chemicals including antimycin\; Humic Substances\; and paraquat based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Mitochondrial carrier protein\; Mitochondrial substrate\/solute carrier\; and Mitochondrial carrier domain superfamily. Is an ortholog of human SLC25A28 (solute carrier family 25 member 28) and SLC25A37 (solute carrier family 25 member 37)."
"23","Gpal_D383_g04449","T01D1.8","WBGene00044641","T01D1.8","N.A.","N.A.","Is enriched in AFD and hypodermis based on tiling array and RNA-seq studies. Is affected by several genes including daf-2\; rrf-3\; and eat-2 based on RNA-seq and microarray studies. Is affected by eight chemicals including stavudine\; Zidovudine\; and allantoin based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domain: ."
"24","Gpal_D383_g00056","F54G2.1","WBGene00018837","F54G2.1","N.A.","N.A.","Is enriched in body wall musculature\; head mesodermal cell\; neurons\; and retrovesicular ganglion based on microarray and RNA-seq studies. Is affected by several genes including daf-16\; age-1\; and daf-12 based on microarray\; tiling array\; and RNA-seq studies. Is affected by five chemicals including Psoralens\; Rifampin\; and allantoin based on RNA-seq and microarray studies. Human ortholog(s) of this gene are implicated in familial hemophagocytic lymphohistiocytosis 3. Is predicted to encode a protein with the following domains: Munc13 (mammalian uncoordinated) homology domain\; C2 domain\; C2 domain\; Mammalian uncoordinated homology 13, subgroup, domain 2\; and C2 domain superfamily. Is an ortholog of human BAIAP3 (BAI1 associated protein 3)."
"25","Gpal_D383_g00954","R05G9.2","WBGene00019904","twk-49","integral component of membrane, ""integral component of plasma membrane"", ""membrane"", ""potassium ion leak channel activity"", ""potassium ion transmembrane transport"", ""stabilization of membrane potential""","N.A.","Is enriched in neurons and retrovesicular ganglion based on microarray\; tiling array\; and RNA-seq studies. Is affected by several genes including daf-2\; skn-1\; and sir-2.1 based on microarray and RNA-seq studies. Is affected by ten chemicals including rotenone\; stavudine\; and Zidovudine based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Phosphorylation site\; Ion channel\; and Potassium channel domain."
"26","Gpal_D383_g10309","C54G4.6","WBGene00008316","dod-18","nucleoside-triphosphate diphosphatase activity","dod-18 encodes a Maf-like protein required for normally short lifespan\;dod-18 is repressed in daf-2 mutants and induced in daf-16 mutants, anddod-18(RNAi) lengthens lifespan by 30\%\; MAF-like proteins are ubiquitousamong eukarya, bacteria, and archaea\; DOD-18 is orthologous to theN-terminal ~200 residues of human ASMTL (OMIM:300162), and to Bacillussubtilis Maf (Multicopy Associated Filamentation) protein, whichinhibits septum formation\; while the specific biochemical function ofMaf-like proteins is unknown, the tertiary structure of B. subtilis Mafis consistent with its binding nucleic acid.","Is predicted to enable nucleoside-triphosphate diphosphatase activity. Is an ortholog of human ASMTL (acetylserotonin O-methyltransferase like)."
"27","Gpal_D383_g11791","Y39A1A.8","WBGene00012647","swt-4","carbohydrate transmembrane transport, ""carbohydrate transport"", ""integral component of membrane"", ""membrane"", ""plasma membrane"", ""sugar transmembrane transporter activity""","N.A.","Is enriched in several structures, including Z1.p\; Z4.a\; ciliated neurons\; germ line\; and male distal tip cell based on RNA-seq studies. Is affected by several genes including daf-12\; isp-1\; and sod-2 based on microarray\; tiling array\; and RNA-seq studies. Is affected by four chemicals including aldicarb\; rotenone\; and Chlorpyrifos based on microarray and RNA-seq studies. Is predicted to encode a protein with the following domains: Sugar efflux transporter for intercellular exchange and SWEET sugar transporter."
"28","Gpal_D383_g00507","B0240.3","WBGene00000907","daf-11","age-dependent response to oxidative stress, ""ATP binding"", ""cell projection"", ""cellular response to cGMP"", ""cGMP biosynthetic process"", ""chemotaxis"", ""cilium assembly"", ""cilium"", ""cyclic nucleotide biosynthetic process"", ""dauer larval development"", ""dendrite"", ""determination of adult lifespan"", ""GTP binding"", ""guanylate cyclase activity"", ""integral component of membrane"", ""intracellular signal transduction"", ""lyase activity"", ""membrane"", ""metal ion binding"", ""negative regulation of dauer larval development"", ""nervous system development"", ""neuronal cell body"", ""non-motile cilium"", ""nucleotide binding"", ""olfactory learning"", ""peptide receptor activity"", ""perikaryon"", ""phototransduction"", ""plasma membrane"", ""positive regulation of gene expression"", ""positive regulation of transforming growth factor beta receptor signaling pathway"", ""protein kinase activity"", ""protein phosphorylation"", ""receptor guanylyl cyclase signaling pathway"", ""regulation of axon extension"", ""regulation of chemotaxis"", ""regulation of dauer larval development"", ""regulation of gene expression"", ""regulation of multicellular organism growth"", ""response to hydrogen peroxide"", ""response to pheromone"", ""response to stimulus"", ""response to temperature stimulus"", ""sensory perception of smell"", ""signal transduction""","daf-11 encodes a transmembrane guanylate cyclase\; daf-11 activity is required for a number of processes dependent upon normal chemosensory function, including dauer formation and recovery and chemotaxis to both volatile and non-volatile odorants\; daf-11 is also required for axon formation\; daf-11 acts together with daf-21 to regulate chemosensory function and genetically upstream of daf-12 with respect to dauer larvae formation\; in addition, daf-11 positively regulates expression of daf-28 and daf-7, which encode insulin and TGF-beta signaling molecules, respectively\; a DAF-11::GFP fusion protein is expressed in a subset of amphid neurons where it localizes to the ciliated sensory endings, the cell soma, and the dendrites.","Is predicted to enable guanylate cyclase activity. Is involved in several processes, including aging\; olfactory learning\; and response to oxygen-containing compound. Located in dendrite\; neuronal cell body\; and non-motile cilium. Is expressed in ADLL\; ADLR\; ASHL\; and ASHR."
"29","Gpal_D383_g13633","R08F11.2","WBGene00019966","srt-30","integral component of membrane, ""membrane""","N.A.","Is enriched in coelomocyte based on tiling array studies. Is affected by several genes including daf-2\; eat-2\; and clk-1 based on tiling array\; microarray\; and RNA-seq studies. Is affected by four chemicals including Rifampin\; allantoin\; and Sirolimus based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Serpentine type 7TM GPCR chemoreceptor Srt and 7TM GPCR, serpentine receptor class t (Srt)."
"30","Gpal_D383_g02457","Y119C1B.3","WBGene00022469","Y119C1B.3","integral component of membrane, ""membrane""","N.A.","Is enriched in cephalic sheath cell\; intestine\; neurons\; and retrovesicular ganglion based on tiling array\; RNA-seq\; and microarray studies. Is affected by several genes including elt-2\; daf-1\; and prg-1 based on RNA-seq studies. Is affected by eight chemicals including Mercuric Chloride\; multi-walled carbon nanotube\; and D-glucose based on microarray and RNA-seq studies. Is predicted to encode a protein with the following domains: Transmembrane protein 26 and Transmembrane protein 26. Is an ortholog of human TMEM26 (transmembrane protein 26)."
"31","Gpal_D383_g12892","H42K12.3","WBGene00019272","H42K12.3","N.A.","N.A.","Is enriched in OLL\; PVD\; and hypodermis based on microarray and tiling array studies. Is affected by several genes including daf-16\; daf-2\; and skn-1 based on microarray\; tiling array\; and RNA-seq studies. Is affected by twenty-three chemicals including hydrogen sulfide\; methylmercury hydroxide\; and 1-methylnicotinamide based on microarray and RNA-seq studies. Is predicted to encode a protein with the following domains: PAN domain\; PAN\/Apple domain\; and Thrombospondin type-1 (TSP1) repeat superfamily."
"32","Gpal_D383_g10737","C32E8.3","WBGene00016321","tppp-1","microtubule, ""positive regulation of protein polymerization""","N.A.","Is enriched in germ line\; germline precursor cell\; head mesodermal cell\; intestine\; and neurons based on tiling array\; RNA-seq\; and microarray studies. Is affected by several genes including daf-2\; daf-12\; and hsf-1 based on tiling array\; proteomic\; microarray\; and RNA-seq studies. Is affected by five chemicals including rotenone\; stavudine\; and Diazinon based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: p25-alpha\; P25-alpha\; and EF-hand domain pair. Is an ortholog of human TPPP2 (tubulin polymerization promoting protein family member 2) and TPPP3 (tubulin polymerization promoting protein family member 3)."
"33","Gpal_D383_g02086","F53F8.5","WBGene00010002","F53F8.5","nucleus","N.A.","Is enriched in NSM\; germ line\; and seam cell based on proteomic and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and hsf-1 based on microarray\; proteomic\; and RNA-seq studies. Is affected by six chemicals including rotenone\; Alovudine\; and stavudine based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Phosphorylation site\; SAM domain (Sterile alpha motif)\; Sterile alpha motif domain\; Sterile alpha motif\/pointed domain superfamily\; and Uncharacterized protein C19orf47-like. Is an ortholog of human C19orf47 (chromosome 19 open reading frame 47)."
"34","Gpal_D383_g16826","F11A1.3","WBGene00000908","daf-12","(25S)-Delta(4)-dafachronate binding, ""(25S)-Delta(7)-dafachronate binding"", ""cell differentiation"", ""chemotaxis"", ""dauer larval development"", ""determination of adult lifespan"", ""DNA binding"", ""DNA-binding transcription factor activity"", ""heat acclimation"", ""intracellular receptor signaling pathway"", ""male mating behavior"", ""metal ion binding"", ""multicellular organism development"", ""negative regulation of transcription by RNA polymerase II"", ""nuclear receptor activity"", ""nucleus"", ""positive regulation of dauer larval development"", ""positive regulation of transcription by RNA polymerase II"", ""protein binding"", ""regulation of dauer larval development"", ""regulation of development, ""regulation of pharyngeal pumping"", ""regulation of transcription, ""RNA polymerase II cis-regulatory region sequence-specific DNA binding"", ""sequence-specific DNA binding"", ""zinc ion binding"", DNA-templated"", heterochronic""","daf-12 encodes a member of the steroid hormone receptor superfamily that is homologous to human VITAMIN D RECEPTOR (VDR\; OMIM:601769, mutated in vitamin D-resistant rickets)\; daf-12 affects dauer formation downstream of the TGF- and insulin signaling pathways, and affects gonad-dependent adult longevity together with DAF-16, chemosensory signal transduction, and distal tip cell migration and hypodermal and intestinal cell lineages during the L3 larval stage\; DAF-12 is expressed in the nucleus and in most cells\; daf-12 expression in lateral seam cells is negatively regulated by the let-7 miRNA\; daf-12 was identified as a key factor mediating the increased resistance against heat-stress induced by carnitine-supplementation in glucose-treated TK22 nematodes.","Enables lipid binding activity\; nuclear receptor activity\; and sequence-specific DNA binding activity. Is involved in several processes, including determination of adult lifespan\; heat acclimation\; and positive regulation of dauer larval development. Located in nucleus. Is expressed in several structures, including gonad\; neurons\; pharyngeal muscle cell\; somatic gonad precursor\; and vulva. Human ortholog(s) of this gene are implicated in several diseases, including autoimmune disease (multiple)\; bile duct disease (multiple)\; and carcinoma (multiple). Is an ortholog of human NR1I2 (nuclear receptor subfamily 1 group I member 2) and VDR (vitamin D receptor)."
"35","Gpal_D383_g03361","Y45F3A.4","WBGene00012861","Y45F3A.4","N.A.","N.A.","Is enriched in head mesodermal cell\; muscle cell\; and neurons based on tiling array\; RNA-seq\; and microarray studies. Is affected by several genes including daf-16\; daf-12\; and sek-1 based on microarray\; RNA-seq\; and tiling array studies. Is affected by six chemicals including stavudine\; Zidovudine\; and antimycin based on RNA-seq and microarray studies."
"36","Gpal_D383_g15388","H06O01.3","WBGene00010370","ctg-1","cytoplasm, ""cytosol""","N.A.","Is enriched in GABAergic neurons\; germ line\; hypodermis\; intestine\; and somatic gonad precursor based on tiling array\; RNA-seq\; and microarray studies. Is affected by several genes including daf-16\; daf-2\; and daf-12 based on microarray\; proteomic\; RNA-seq\; and tiling array studies. Is affected by eleven chemicals including rotenone\; mianserin\; and stavudine based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: CRAL\/TRIO domain\; CRAL-TRIO lipid binding domain\; GOLD domain superfamily\; and CRAL-TRIO lipid binding domain superfamily. Is an ortholog of human SEC14L2 (SEC14 like lipid binding 2) and SEC14L3 (SEC14 like lipid binding 3)."
"37","Gpal_D383_g07695","Y69E1A.5","WBGene00013477","Y69E1A.5","N.A.","N.A.","Is enriched in GABAergic neurons\; OLL\; PVD\; body wall muscle cell\; and muscle cell based on tiling array\; RNA-seq\; proteomic\; and microarray studies. Is affected by several genes including daf-2\; age-1\; and rrf-3 based on microarray\; RNA-seq\; tiling array\; and proteomic studies. Is affected by twelve chemicals including manganese chloride\; D-glucose\; and nicotine based on RNA-seq\; proteomic\; and microarray studies. Is predicted to encode a protein with the following domains: Phosphatidylethanolamine-binding protein\; Phosphatidylethanolamine-binding protein\; Phosphatidylethanolamine-binding protein, eukaryotic\; and PEBP-like superfamily. Is an ortholog of human PEBP4 (phosphatidylethanolamine binding protein 4)."
"38","Gpal_D383_g03211","B0361.9","WBGene00015163","B0361.9","N.A.","N.A.","Is enriched in PLM\; germ line\; and intestine based on RNA-seq and microarray studies. Is affected by several genes including daf-16\; daf-2\; and skn-1 based on microarray\; tiling array\; and RNA-seq studies. Is affected by thirteen chemicals including rotenone\; Psoralens\; and allantoin based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: PAN domain and PAN\/Apple domain."
"39","Gpal_D383_g03399","C55A6.12","WBGene00044019","C55A6.12","N.A.","N.A.","Is enriched in germline precursor cell\; hypodermis\; intestine\; and somatic gonad precursor based on tiling array and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and rrf-3 based on tiling array\; RNA-seq\; microarray\; and proteomic studies. Is affected by sixteen chemicals including rotenone\; D-glucose\; and Zidovudine based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domain: Calycin."
"40","Gpal_D383_g05475","K08D12.4","WBGene00019538","K08D12.4","N.A.","N.A.","Is enriched in CEM\; HOB\; IL2 neuron\; and ray neuron type B based on RNA-seq studies. Is affected by several genes including daf-16\; rrf-3\; and daf-12 based on microarray\; tiling array\; and RNA-seq studies. Is affected by eight chemicals including multi-walled carbon nanotube\; D-glucose\; and Psoralens based on RNA-seq and microarray studies."
"41","Gpal_D383_g01951","F56B3.4","WBGene00004824","F56B3.4","transcription by RNA polymerase II","N.A.","Is enriched in germ line\; germline precursor cell\; and somatic gonad precursor based on RNA-seq studies. Is affected by several genes including daf-2\; sir-2.1\; and npr-1 based on microarray and RNA-seq studies. Is affected by seven chemicals including Alovudine\; stavudine\; and Zidovudine based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: RPAP1-like, N-terminal\; RNA polymerase II-associated protein 1, N-terminal\; and RNA polymerase II-associated protein RPAP1\/Rba50. Is an ortholog of human RPAP1 (RNA polymerase II associated protein 1)."
"42","Gpal_D383_g02434","T11F9.12","WBGene00011713","T11F9.12","N.A.","N.A.","Is enriched in neurons\; pharynx\; and retrovesicular ganglion based on microarray studies. Is affected by several genes including daf-16\; daf-2\; and daf-12 based on microarray and RNA-seq studies. Is affected by twenty-one chemicals including manganese chloride\; levamisole\; and stavudine based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Bacterial protein of unknown function (HtrL_YibB) and HtrL protein."
"43","Gpal_D383_g02531","F35A5.8","WBGene00001335","F35A5.8","cytoplasm, ""Golgi apparatus""","erp-1 is homologous to the human gene endophilin B1 (also called SH3GLB1, for SH3 domain GRB2-like endophilin B1).","Is enriched in several structures, including germ line\; head mesodermal cell\; neurons\; retrovesicular ganglion\; and somatic nervous system based on Chronogram\; tiling array\; microarray\; and RNA-seq studies. Is affected by several genes including daf-12\; sir-2.1\; and npr-1 based on microarray\; tiling array\; and RNA-seq studies. Is affected by seven chemicals including rotenone\; cadmium\; and fluoranthene based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: BAR domain\; SH3 domain\; BAR domain\; AH\/BAR domain superfamily\; and SH3-like domain superfamily. Is an ortholog of human SH3GLB2 (SH3 domain containing GRB2 like, endophilin B2)."
"44","Gpal_D383_g06845","Y97E10AR.6","WBGene00022401","Y97E10AR.6","N.A.","N.A.","Is enriched in AVK\; germ line\; and neurons based on RNA-seq and microarray studies. Is affected by several genes including daf-2\; isp-1\; and csr-1 based on microarray\; RNA-seq\; and proteomic studies. Is affected by seven chemicals including Cry5B\; levamisole\; and Alovudine based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Phosphorylation site\; BSD domain\; BSD domain\; and BSD domain superfamily. Is an ortholog of human BSDC1 (BSD domain containing 1)."
